Coin,quote_currency,cryptopair
TAP,USD,TAPUSD
GTC,USD,GTCUSD
METAN,USD,METANUSD
YFX,USD,YFXUSD
BEAR,IUSD,BEARIUSD
1000SATS,USD,1000SATSUSD
SASHIMI,USD,SASHIMIUSD
RICE,USD,RICEUSD
BNY,TUSD,BNYTUSD
RPG,USD,RPGUSD
UNM,USD,UNMUSD
ZERO,AUSD,ZEROAUSD
SMR,USD,SMRUSD
PBTC35A,USD,PBTC35AUSD
ONC,USD,ONCUSD
XNK,IUSD,XNKIUSD
DFI,USD,DFIUSD
CHAIN,USD,CHAINUSD
KBD,USD,KBDUSD
LSD,LUSD,LSDLUSD
FTI,USD,FTIUSD
GTCOIN,USD,GTCOINUSD
DIS,USD,DISUSD
INK,USD,INKUSD
BCDN,USD,BCDNUSD
VOLR,USD,VOLRUSD
PLACE,USD,PLACEUSD
CT,FUSD,CTFUSD
GETA,USD,GETAUSD
VATR,USD,VATRUSD
KRU,USD,KRUUSD
YACHT,USD,YACHTUSD
KAF,USD,KAFUSD
CCL,2USD,CCL2USD
GOGLZ,USD,GOGLZUSD
UNICE,USD,UNICEUSD
REMUS,USD,REMUSUSD
MASS,USD,MASSUSD
ONX,USD,ONXUSD
NESS,LUSD,NESSLUSD
TAPT,USD,TAPTUSD
SMILEY,USD,SMILEYUSD
HCT,USD,HCTUSD
NVG8,USD,NVG8USD
BABI,USD,BABIUSD
BASE,USD,BASEUSD
MPAA,USD,MPAAUSD
CHATAI,USD,CHATAIUSD
OKT,USD,OKTUSD
COVN,USD,COVNUSD
MART,USD,MARTUSD
SOP,USD,SOPUSD
AICORE,USD,AICOREUSD
MAPE,USD,MAPEUSD
QTLX,USD,QTLXUSD
MDI,USD,MDIUSD
X,IUSD,XIUSD
XHP,USD,XHPUSD
CRH,CUSD,CRHCUSD
FUD,USD,FUDUSD
MNEMO,USD,MNEMOUSD
KEL,USD,KELUSD
GODE,USD,GODEUSD
ATOZ,USD,ATOZUSD
SUIA,USD,SUIAUSD
ESS,USD,ESSUSD
PMG,USD,PMGUSD
OVO,USD,OVOUSD
NAC,USD,NACUSD
NBOT,USD,NBOTUSD
SHD,USD,SHDUSD
CNNS,USD,CNNSUSD
FAKT,USD,FAKTUSD
HOLD,SUSD,HOLDSUSD
SAT,USD,SATUSD
TOKKI,USD,TOKKIUSD
FTM,USD,FTMUSD
FIRE,USD,FIREUSD
EQ,USD,EQUSD
BAKED,USD,BAKEDUSD
MIS,USD,MISUSD
HIT,USD,HITUSD
DRF,USD,DRFUSD
SHIBAI,USD,SHIBAIUSD
MXNA,USD,MXNAUSD
CRYN,USD,CRYNUSD
RATING,USD,RATINGUSD
EGS,USD,EGSUSD
BIFI,USD,BIFIUSD
SHOPX,USD,SHOPXUSD
ETP,USD,ETPUSD
TXT,USD,TXTUSD
SWINGBY,USD,SWINGBYUSD
NVG,USD,NVGUSD
FNS,USD,FNSUSD
TIP,USD,TIPUSD
TRU,USD,TRUUSD
BLES,USD,BLESUSD
ACN,USD,ACNUSD
TWIF,USD,TWIFUSD
BFT,USD,BFTUSD
SMT,USD,SMTUSD
BIOP,USD,BIOPUSD
RSIC,USD,RSICUSD
TCGC,USD,TCGCUSD
SRC,SUSD,SRCSUSD
ABL,USD,ABLUSD
MATIC,USD,MATICUSD
TRENCHER,USD,TRENCHERUSD
STZ,USD,STZUSD
XOXO,,
YEE,,
PT,USD,PTUSD
SELO,USD,SELOUSD
ZEUS,,
STAR,HUSD,STARHUSD
EPIKO,USD,EPIKOUSD
SKT,USD,SKTUSD
EXS,USD,EXSUSD
MTG,USD,MTGUSD
AIR,USD,AIRUSD
ELEC,USD,ELECUSD
KMA,USD,KMAUSD
PAW,USD,PAWUSD
SBR,USD,SBRUSD
MOOO,USD,MOOOUSD
LBTC,USD,LBTCUSD
ATNT,USD,ATNTUSD
SFL,2USD,SFL2USD
PAF,USD,PAFUSD
FUEL,USD,FUELUSD
WSIENNA,USD,WSIENNAUSD
DDD,USD,DDDUSD
MUDOL2,USD,MUDOL2USD
NSDX,USD,NSDXUSD
TRC,LUSD,TRCLUSD
FARM,USD,FARMUSD
TARI,USD,TARIUSD
ZEUS,,
DPY,USD,DPYUSD
SAY,USD,SAYUSD
DHX,USD,DHXUSD
LEMD,USD,LEMDUSD
SMARS,USD,SMARSUSD
GOTG,USD,GOTGUSD
EVRY,USD,EVRYUSD
MOBI,USD,MOBIUSD
GM,USD,GMUSD
DEUS,USD,DEUSUSD
BTL,USD,BTLUSD
DBD,USD,DBDUSD
GOV,USD,GOVUSD
PLB,USD,PLBUSD
GENOME,USD,GENOMEUSD
LOTT,USD,LOTTUSD
TUBES,USD,TUBESUSD
BNTY,USD,BNTYUSD
MILO,USD,MILOUSD
STA,USD,STAUSD
SOLVEX,USD,SOLVEXUSD
HBD,USD,HBDUSD
XET,USD,XETUSD
TARDI,USD,TARDIUSD
ZIX,USD,ZIXUSD
SOUL,USD,SOULUSD
QI,USD,QIUSD
BSX,USD,BSXUSD
AVTM,USD,AVTMUSD
KPN,USD,KPNUSD
FLURRY,USD,FLURRYUSD
BLACK,USD,BLACKUSD
PINEYE,USD,PINEYEUSD
VEE,FUSD,VEEFUSD
FINE,USD,FINEUSD
STRAX,USD,STRAXUSD
RVC,USD,RVCUSD
SPAY,USD,SPAYUSD
OGGY,USD,OGGYUSD
APN,USD,APNUSD
PIG,USD,PIGUSD
TNC,TUSD,TNCTUSD
OST,USD,OSTUSD
PI,USD,PIUSD
CEM,USD,CEMUSD
MRCH,USD,MRCHUSD
MRST,USD,MRSTUSD
XUSD,2USD,XUSD2USD
CS,USD,CSUSD
PEARL,USD,PEARLUSD
XIL,USD,XILUSD
ORD,USD,ORDUSD
BCX,USD,BCXUSD
BTO,USD,BTOUSD
